sales_month,total_revenue,previous_month_revenue,mom_growth_percentage
2010-12,572713.89,,
2011-01,569445.04,572713.89,-0.57
2011-02,447137.35,569445.04,-21.48
2011-03,595500.76,447137.35,33.18
2011-04,469200.36,595500.76,-21.21
2011-05,678594.56,469200.36,44.63
2011-06,661213.69,678594.56,-2.56
2011-07,600091.01,661213.69,-9.24
2011-08,645343.9,600091.01,7.54
2011-09,952838.38,645343.9,47.65
2011-10,1039318.79,952838.38,9.08
2011-11,1161817.38,1039318.79,11.79
2011-12,518210.79,1161817.38,-55.4
