customer_id,total_spend,total_orders,days_since_last_purchase,customer_status
12346.0,77183.6,1,325,At-Risk VIP
15749.0,44534.3,3,234,At-Risk VIP
15098.0,39916.5,3,181,At-Risk VIP
16180.0,10254.18,8,99,At-Risk VIP
12590.0,9864.26,2,210,At-Risk VIP
13093.0,7832.47,8,275,At-Risk VIP
12980.0,7374.9,9,157,At-Risk VIP
13027.0,6912.0,6,113,At-Risk VIP
16553.0,5719.82,12,162,At-Risk VIP
17850.0,5391.21,34,371,At-Risk VIP
15032.0,4959.1,3,255,At-Risk VIP
12688.0,4873.81,1,113,At-Risk VIP
13802.0,4599.42,3,138,At-Risk VIP
14016.0,4341.21,4,161,At-Risk VIP
18087.0,4055.72,2,97,At-Risk VIP
12378.0,4008.62,1,129,At-Risk VIP
18073.0,3877.52,12,113,At-Risk VIP
12755.0,3811.95,2,280,At-Risk VIP
15808.0,3734.97,4,305,At-Risk VIP
12502.0,3723.87,5,95,At-Risk VIP
14364.0,3717.35,8,108,At-Risk VIP
15379.0,3703.29,7,168,At-Risk VIP
15581.0,3679.97,13,120,At-Risk VIP
17230.0,3638.41,8,263,At-Risk VIP
13082.0,3613.63,9,125,At-Risk VIP
12643.0,3344.64,6,127,At-Risk VIP
17723.0,3276.4,6,126,At-Risk VIP
13952.0,3251.07,2,217,At-Risk VIP
17050.0,3228.84,6,95,At-Risk VIP
13869.0,3104.95,4,122,At-Risk VIP
15491.0,3100.09,6,94,At-Risk VIP
14565.0,3099.12,4,95,At-Risk VIP
13135.0,3096.0,1,196,At-Risk VIP
13631.0,3070.42,11,99,At-Risk VIP
12754.0,3010.74,3,235,At-Risk VIP
12916.0,3006.15,4,138,At-Risk VIP
17504.0,2997.03,9,205,At-Risk VIP
17444.0,2940.04,3,147,At-Risk VIP
12758.0,2791.59,2,116,At-Risk VIP
12669.0,2744.03,3,150,At-Risk VIP
12840.0,2726.77,4,143,At-Risk VIP
12625.0,2683.82,2,211,At-Risk VIP
14439.0,2661.24,1,319,At-Risk VIP
13851.0,2651.46,3,95,At-Risk VIP
18260.0,2643.2,6,172,At-Risk VIP
16919.0,2596.45,11,155,At-Risk VIP
15245.0,2515.84,3,133,At-Risk VIP
17722.0,2424.04,4,95,At-Risk VIP
13722.0,2375.41,3,131,At-Risk VIP
14930.0,2372.86,3,108,At-Risk VIP
16550.0,2298.97,5,108,At-Risk VIP
15704.0,2293.62,4,139,At-Risk VIP
15235.0,2247.51,12,217,At-Risk VIP
15665.0,2242.01,2,167,At-Risk VIP
12653.0,2209.85,2,148,At-Risk VIP
15797.0,2207.4,4,112,At-Risk VIP
17406.0,2200.42,3,332,At-Risk VIP
12501.0,2169.39,1,336,At-Risk VIP
16456.0,2158.37,5,98,At-Risk VIP
14407.0,2157.73,6,106,At-Risk VIP
14828.0,2139.76,3,196,At-Risk VIP
17400.0,2129.96,5,125,At-Risk VIP
18093.0,2106.52,4,92,At-Risk VIP
14461.0,2103.06,3,147,At-Risk VIP
18231.0,2083.27,5,191,At-Risk VIP
17597.0,2044.37,1,213,At-Risk VIP
12585.0,2040.1,2,233,At-Risk VIP
13593.0,2037.08,5,107,At-Risk VIP
17337.0,2027.87,4,150,At-Risk VIP
15372.0,2007.4,1,136,At-Risk VIP
16754.0,2002.4,1,371,At-Risk VIP
16698.0,1998.0,2,226,At-Risk VIP
12853.0,1957.1,6,134,At-Risk VIP
14472.0,1936.84,8,103,At-Risk VIP
14210.0,1905.84,6,105,At-Risk VIP
15641.0,1887.2,4,104,At-Risk VIP
17787.0,1865.19,4,152,At-Risk VIP
12383.0,1850.56,5,184,At-Risk VIP
14459.0,1837.92,1,154,At-Risk VIP
16152.0,1829.04,1,268,At-Risk VIP
15260.0,1810.77,7,99,At-Risk VIP
15812.0,1801.14,5,106,At-Risk VIP
14935.0,1784.71,1,296,At-Risk VIP
12424.0,1760.96,2,162,At-Risk VIP
13564.0,1749.02,3,143,At-Risk VIP
17353.0,1740.0,2,128,At-Risk VIP
17457.0,1737.7,5,126,At-Risk VIP
12405.0,1710.39,1,148,At-Risk VIP
16902.0,1706.88,1,115,At-Risk VIP
16398.0,1705.8,2,153,At-Risk VIP
17282.0,1703.41,3,129,At-Risk VIP
12764.0,1693.88,1,316,At-Risk VIP
14245.0,1693.45,2,219,At-Risk VIP
17152.0,1689.5,3,194,At-Risk VIP
13162.0,1688.29,4,121,At-Risk VIP
15332.0,1661.06,4,365,At-Risk VIP
12967.0,1660.9,2,357,At-Risk VIP
14045.0,1659.75,4,108,At-Risk VIP
14573.0,1653.42,9,179,At-Risk VIP
15002.0,1641.76,4,115,At-Risk VIP
15122.0,1633.78,3,113,At-Risk VIP
12377.0,1628.12,2,314,At-Risk VIP
13425.0,1624.21,3,107,At-Risk VIP
16801.0,1619.73,4,162,At-Risk VIP
14918.0,1610.15,2,115,At-Risk VIP
12868.0,1607.06,6,185,At-Risk VIP
12947.0,1603.99,6,143,At-Risk VIP
13850.0,1595.48,1,128,At-Risk VIP
18178.0,1590.81,4,128,At-Risk VIP
14442.0,1589.82,2,204,At-Risk VIP
13814.0,1579.12,2,91,At-Risk VIP
16889.0,1578.67,3,194,At-Risk VIP
13659.0,1573.2,2,205,At-Risk VIP
17085.0,1566.65,5,122,At-Risk VIP
17204.0,1564.56,4,174,At-Risk VIP
