product_a,product_b,times_bought_together
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,721
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,618
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,579
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,579
LUNCH BAG RED RETROSPOT,LUNCH BAG  BLACK SKULL.,571
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,562
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER ,515
LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,511
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN ,494
PAPER CHAIN KIT 50'S CHRISTMAS ,PAPER CHAIN KIT VINTAGE CHRISTMAS,492
GARDENERS KNEELING PAD CUP OF TEA ,GARDENERS KNEELING PAD KEEP CALM ,487
LUNCH BAG RED RETROSPOT,LUNCH BAG CARS BLUE,485
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN ,483
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE ,481
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,476
