cohort_month,activity_month,active_customers
2010-12-01,2010-12-01,885
2010-12-01,2011-01-01,324
2010-12-01,2011-02-01,286
2010-12-01,2011-03-01,340
2010-12-01,2011-04-01,321
2010-12-01,2011-05-01,352
2010-12-01,2011-06-01,321
2010-12-01,2011-07-01,309
2010-12-01,2011-08-01,313
2010-12-01,2011-09-01,350
2010-12-01,2011-10-01,331
2010-12-01,2011-11-01,445
2010-12-01,2011-12-01,235
2011-01-01,2011-01-01,417
2011-01-01,2011-02-01,92
2011-01-01,2011-03-01,111
2011-01-01,2011-04-01,96
2011-01-01,2011-05-01,134
2011-01-01,2011-06-01,120
2011-01-01,2011-07-01,103
2011-01-01,2011-08-01,101
2011-01-01,2011-09-01,125
2011-01-01,2011-10-01,136
2011-01-01,2011-11-01,152
2011-01-01,2011-12-01,49
2011-02-01,2011-02-01,380
2011-02-01,2011-03-01,71
2011-02-01,2011-04-01,71
2011-02-01,2011-05-01,108
2011-02-01,2011-06-01,103
2011-02-01,2011-07-01,94
2011-02-01,2011-08-01,96
2011-02-01,2011-09-01,106
2011-02-01,2011-10-01,94
2011-02-01,2011-11-01,116
2011-02-01,2011-12-01,26
2011-03-01,2011-03-01,452
2011-03-01,2011-04-01,68
2011-03-01,2011-05-01,114
2011-03-01,2011-06-01,90
2011-03-01,2011-07-01,101
2011-03-01,2011-08-01,76
2011-03-01,2011-09-01,121
2011-03-01,2011-10-01,104
2011-03-01,2011-11-01,126
2011-03-01,2011-12-01,39
2011-04-01,2011-04-01,300
2011-04-01,2011-05-01,64
2011-04-01,2011-06-01,61
2011-04-01,2011-07-01,63
2011-04-01,2011-08-01,59
2011-04-01,2011-09-01,68
2011-04-01,2011-10-01,65
2011-04-01,2011-11-01,78
2011-04-01,2011-12-01,22
2011-05-01,2011-05-01,284
2011-05-01,2011-06-01,54
2011-05-01,2011-07-01,49
2011-05-01,2011-08-01,49
2011-05-01,2011-09-01,59
2011-05-01,2011-10-01,66
2011-05-01,2011-11-01,75
2011-05-01,2011-12-01,27
2011-06-01,2011-06-01,242
2011-06-01,2011-07-01,42
2011-06-01,2011-08-01,38
2011-06-01,2011-09-01,64
2011-06-01,2011-10-01,56
2011-06-01,2011-11-01,81
2011-06-01,2011-12-01,23
2011-07-01,2011-07-01,188
2011-07-01,2011-08-01,34
2011-07-01,2011-09-01,39
2011-07-01,2011-10-01,42
2011-07-01,2011-11-01,51
2011-07-01,2011-12-01,21
2011-08-01,2011-08-01,169
2011-08-01,2011-09-01,35
2011-08-01,2011-10-01,42
2011-08-01,2011-11-01,41
2011-08-01,2011-12-01,21
2011-09-01,2011-09-01,299
2011-09-01,2011-10-01,70
2011-09-01,2011-11-01,90
2011-09-01,2011-12-01,34
2011-10-01,2011-10-01,358
2011-10-01,2011-11-01,86
2011-10-01,2011-12-01,41
2011-11-01,2011-11-01,323
2011-11-01,2011-12-01,36
2011-12-01,2011-12-01,41
